line,bus_id,time,round_time,duration,status
125,21032042,2022-06-01 15:01:11,2022-06-01 15:01:00,4178,other
125,21032042,2022-06-01 16:10:49,2022-06-01 16:11:00,5597,o
125,21032042,2022-06-01 17:44:06,2022-06-01 17:44:00,3879,other
125,21032042,2022-06-01 18:48:45,2022-06-01 18:49:00,1465,d
125,21032042,2022-06-01 19:13:10,2022-06-01 19:13:00,4731,other
125,21032042,2022-06-01 20:32:01,2022-06-01 20:32:00,2806,o
125,21032095,2022-06-01 06:09:30,2022-06-01 06:10:00,1002,other
125,21032095,2022-06-01 06:26:12,2022-06-01 06:26:00,332,d
125,21032095,2022-06-01 06:31:44,2022-06-01 06:32:00,3704,other
125,21032095,2022-06-01 07:33:28,2022-06-01 07:33:00,2973,o
125,21032095,2022-06-01 08:23:01,2022-06-01 08:23:00,5017,other
125,21032095,2022-06-01 09:46:38,2022-06-01 09:47:00,290,d
125,21032095,2022-06-01 09:51:28,2022-06-01 09:51:00,4337,other
125,21032095,2022-06-01 11:03:45,2022-06-01 11:04:00,3559,o
125,21032095,2022-06-01 12:03:04,2022-06-01 12:03:00,3786,other
125,21032095,2022-06-01 13:06:10,2022-06-01 13:06:00,371,d
125,21032095,2022-06-01 13:12:21,2022-06-01 13:12:00,4130,other
125,21032095,2022-06-01 14:21:11,2022-06-01 14:21:00,4949,o
125,21032095,2022-06-01 15:43:40,2022-06-01 15:44:00,3782,other
125,21032095,2022-06-01 16:46:42,2022-06-01 16:47:00,311,d
125,21032095,2022-06-01 16:51:53,2022-06-01 16:52:00,4469,other
125,21032095,2022-06-01 18:06:22,2022-06-01 18:06:00,2478,o
125,21032098,2022-06-01 07:15:58,2022-06-01 07:16:00,778,o
125,21032098,2022-06-01 07:28:56,2022-06-01 07:29:00,4750,other
125,21032098,2022-06-01 08:48:06,2022-06-01 08:48:00,252,d
125,21032098,2022-06-01 08:52:18,2022-06-01 08:52:00,4533,other
125,21032098,2022-06-01 10:07:51,2022-06-01 10:08:00,2549,o
125,21032098,2022-06-01 10:50:20,2022-06-01 10:50:00,4177,other
125,21032098,2022-06-01 11:59:57,2022-06-01 12:00:00,171,d
125,21032098,2022-06-01 12:02:48,2022-06-01 12:03:00,4150,other
125,21032098,2022-06-01 13:11:58,2022-06-01 13:12:00,4834,o
125,21032098,2022-06-01 14:32:32,2022-06-01 14:33:00,3742,other
125,21032098,2022-06-01 15:34:54,2022-06-01 15:35:00,1662,d
125,21032098,2022-06-01 16:02:36,2022-06-01 16:03:00,4697,other
125,21032098,2022-06-01 17:20:53,2022-06-01 17:21:00,1979,o
125,21032098,2022-06-01 17:53:52,2022-06-01 17:54:00,4718,other
125,21032098,2022-06-01 19:12:30,2022-06-01 19:12:00,832,d
125,21032098,2022-06-01 19:26:22,2022-06-01 19:26:00,4576,other
125,21032130,2022-06-01 06:48:06,2022-06-01 06:48:00,1417,o
125,21032130,2022-06-01 07:11:43,2022-06-01 07:12:00,3883,other
125,21032130,2022-06-01 08:16:26,2022-06-01 08:16:00,302,d
125,21032130,2022-06-01 08:21:28,2022-06-01 08:21:00,4954,other
125,21032130,2022-06-01 09:44:02,2022-06-01 09:44:00,2256,o
125,21032130,2022-06-01 10:21:38,2022-06-01 10:22:00,4080,other
125,21032130,2022-06-01 11:29:38,2022-06-01 11:30:00,351,d
125,21032130,2022-06-01 11:35:29,2022-06-01 11:35:00,3853,other
125,21032130,2022-06-01 12:39:42,2022-06-01 12:40:00,3873,o
125,21032130,2022-06-01 13:44:15,2022-06-01 13:44:00,3912,other
125,21032130,2022-06-01 14:49:27,2022-06-01 14:49:00,151,d
125,21032130,2022-06-01 14:51:58,2022-06-01 14:52:00,4387,other
125,21032130,2022-06-01 16:05:05,2022-06-01 16:05:00,4456,o
125,21032130,2022-06-01 17:19:21,2022-06-01 17:19:00,4146,other
125,21032130,2022-06-01 18:28:27,2022-06-01 18:28:00,773,d
125,21032130,2022-06-01 18:41:20,2022-06-01 18:41:00,5052,other
125,21032136,2022-06-01 06:35:02,2022-06-01 06:35:00,583,o
125,21032136,2022-06-01 06:44:45,2022-06-01 06:45:00,3947,other
125,21032136,2022-06-01 07:50:32,2022-06-01 07:51:00,202,d
125,21032136,2022-06-01 07:53:54,2022-06-01 07:54:00,11955,other
125,21032136,2022-06-01 11:13:09,2022-06-01 11:13:00,903,d
125,21032136,2022-06-01 11:28:12,2022-06-01 11:28:00,3654,other
125,21032136,2022-06-01 12:29:06,2022-06-01 12:29:00,3150,o
125,21032136,2022-06-01 13:21:36,2022-06-01 13:22:00,3748,other
125,21032136,2022-06-01 14:24:04,2022-06-01 14:24:00,241,d
125,21032136,2022-06-01 14:28:05,2022-06-01 14:28:00,4240,other
125,21032136,2022-06-01 15:38:45,2022-06-01 15:39:00,3362,o
125,21032136,2022-06-01 16:34:47,2022-06-01 16:35:00,3816,other
125,21032136,2022-06-01 17:38:23,2022-06-01 17:38:00,1375,d
125,21032136,2022-06-01 18:01:18,2022-06-01 18:01:00,5057,other
125,21032165,2022-06-01 07:17:41,2022-06-01 07:18:00,6440,o
